Siruta,Localitate,Judet,Mediu
157530,Lovrin,tm,urban
157585,Margina,tm,urban
157683,Masloc,tm,urban
157736,Manastiur,tm,urban
157781,Moravita,tm,urban
157834,Mosnita Noua,tm,urban
157898,Nadrag,tm,urban
157923,Nitchidorf,tm,urban
157969,Ohaba Lunga,tm,urban
158010,Ortisoara,tm,urban
158065,Peciu Nou,tm,urban
158109,Periam,tm,urban
158136,Pietroasa,tm,urban
158181,Pischia,tm,urban
158243,Racovita,tm,urban
158314,Oras Recas,tm,urban
158396,Remetea Mare,tm,urban
158449,Sacosu Turcesc,tm,urban
158528,Satchinez,tm,urban
158564,Sacalaz,tm,urban
158608,Secas,tm,urban
158653,Sanandrei,tm,urban
158699,Sanmihaiu Roman,tm,urban
158733,Sanpetru Mare,tm,urban
158779,Sag,tm,urban
158804,Stiuca,tm,urban
158859,Teremia Mare,tm,urban
158895,Tomesti,tm,urban
158966,Topolovatu Mare,tm,urban
159035,Tormac,tm,urban
159071,Traian Vuia,tm,urban
159142,Uivar,tm,urban
159213,Varias,tm,urban
159259,Victor Vlad Delamarina,tm,urban
159339,Voiteg,tm,urban
159366,Birda,tm,urban
159375,Checea,tm,urban
159384,Dudestii Noi,tm,urban
159393,Fibis,tm,urban
159400,Ghilad,tm,urban
159419,Gottlob,tm,urban
159428,Iecea Mare,tm,urban
159437,Parta,tm,urban
159446,Padureni,tm,urban
159455,Saravale,tm,urban
159464,Sandra,tm,urban
159473,Tomnatic,tm,urban
159482,Valcani,tm,urban
159491,Livezile,tm,urban
159507,Pesac,tm,urban
159516,Bucovat,tm,urban
159525,Otelec,tm,urban
159614,Municipiul Tulcea,tl,urban
159650,Oras Babadag,tl,urban
159687,Oras Isaccea,tl,urban
159730,Oras Macin,tl,urban
159767,Oras Sulina,tl,urban
159785,Baia,tl,urban
159847,Beidaud,tl,urban
159883,C.a. Rosetti,tl,urban
159945,Carcaliu,tl,urban
159963,Casimcea,tl,urban
160047,Ceatalchioi,tl,urban
160092,Ceamurlia De Jos,tl,urban
160127,Cerna,tl,urban
160172,Chilia Veche,tl,urban
160225,Ciucurova,tl,urban
160261,Crisan,tl,urban
160305,Daeni,tl,urban
160323,Dorobantu,tl,urban
160387,Frecatei,tl,urban
160430,Greci,tl,urban
