Cod,Tara,Librarie,CostLunarBasic,CostLunarStandard,CostLunarPremium,Internet,HDI,Venit,IndiceFericire,IndiceEducatie
LTU,Lithuania,1.1833396046546163,0.4009187522401475,-0.17619690983651629,-0.46031599197997064,0.2242326369229377,0.27547947743581264,-0.4151255355960363,0.5683773580780094,0.7322462345229597
ARG,Argentina,-0.7203883758100862,-2.3193564809500358,-1.991325017942278,-1.5682351849893779,0.2242326369229377,-0.8344565459957994,-0.9907217806937115,-0.3856280921301259,0.11266653891222699
FRA,Franta,0.0458006175026759,0.9819983389140434,1.2606279452772635,1.2947522623667076,0.14282333561970534,0.5801677975935104,0.5455783198757549,0.43945770264447803,0.34869689914488705
POL,Polonia,-0.3300234726478177,-0.5761177209283491,-0.43446163062911936,-0.1445072500473824,0.061414034316472965,0.28636120315573044,-0.4473541451801077,-0.0762209190896494,0.6043964560636021
THA,Thailanda,-0.5101058491782625,0.046100243563167304,-0.48902459981065544,-0.724352809005577,0.061414034316472965,-0.5406499515580194,-0.894603593732549,-0.6176834719104827,-1.411696204257034
ROU,Romania,-0.11302980154902077,0.4009187522401475,-0.17619690983651629,-0.46031599197997064,-0.01999526698675942,-0.31213371143974733,-0.7269401341860284,0.34921394384100546,-0.41840177161125713
CZE,Cehia,2.148625883820914,0.29807280769609557,-0.10344628426113466,-0.3024116210136763,-0.1014045682899918,0.4278236375146615,-0.10133912867923178,0.6844050479681877,0.8699306113253448
CRI,Costa Rica,-0.46536488606510845,0.3803495633313375,0.44218340755422464,0.17389008813055484,-0.1014045682899918,-1.204435220473004,-0.6610040587727762,0.3749978749277124,-0.8412895003614398
JPN,Japonia,0.0793563398375414,0.2466498354240696,0.4931088454569917,0.5518251399515206,-0.1014045682899918,0.8195657634317015,0.5159489121770269,-0.24381647115324054,0.4273736858891071
PRT,Portugalia,-0.39937196547320636,0.4009187522401475,0.6422476278865227,0.7097295109178146,-0.18281386959322418,0.17754394595655265,-0.48717869820496723,-0.4500879198468915,-0.44790556664033965
HRV,Croatia,-3.501039233292607,0.4009187522401475,-0.17619690983651629,-0.46031599197997064,-0.26422317089645564,0.09049014019721043,-0.5076884923921886,-0.24381647115324054,-0.13319841966345952
TUR,Turcia,-0.8557297892273771,-3.2295430901648987,-3.1917103399360682,-2.924659617552297,-0.26422317089645564,-0.12714437420114513,-0.9438017052807017,-2.2033952337429223,-1.136327450652265
BRA,Brazilia,-0.48326127131037006,-1.871976622183408,-1.6966849843619838,-1.3870334478149418,-0.26422317089645564,-1.0412093346742373,-0.9879731993896703,-0.25670843669659343,-1.1658312456813462
UKR,Ucraina,-0.07611850698066873,-1.342320007781539,-1.2056182617281601,-1.042750147183514,-0.42704177350292044,-0.8344565459957994,-1.0000878702460696,-1.6103648187486765,-0.10369462463437701
GRC,Grecia,-0.70696608687614,0.4009187522401475,0.234844124664388,0.1247067594689224,-0.5084510748061528,0.40606018607482597,-0.6344817429829646,-0.5016557820203043,0.32902770245883206
PRY,Paraguay,-0.6790029849304188,0.020388757427153858,-0.10344628426113466,-0.16262742376482606,-0.5898603761093851,-1.443833186311195,-1.032249259091727,-0.7466031273440139,-1.706734154547859
MEX,Mexic,-0.45977226567596424,-0.8383748795156825,-0.48902459981065544,-0.2791142548055346,-0.6712696774126176,-0.9976824317945662,-0.7593928128981466,0.014022839713823195,-1.2445080324255664
BGR,Bulgaria,1.5580451707272809,0.4009187522401475,-0.17619690983651629,-0.46031599197997064,-0.75267897871585,-1.5635321692302906,-0.6951148490324413,-1.0946861970145503,0.004485957138925535
ITA,Italia,-0.24725269088848276,0.4009187522401475,1.053288662387427,1.2947522623667076,-0.75267897871585,0.4931139918341682,-0.03540305326597965,0.10426659851729579,-0.13319841966345952
COL,Columbia,-0.4620093138316219,-2.0262455389994867,-1.7876232663312104,-1.3947992365509894,-0.9154975813223147,-1.0629727861140728,-1.0786240996264895,-0.8884147483208993,-1.2641772291116213
ZAF,Africa de Sud,0.37129112415087123,-1.0234975796949768,-0.6272507884038794,-0.7088212315334823,-0.996906882625547,-1.487360089190866,-0.437599669139135,-1.4556612322284384,-0.9494700821347424
PER,Peru,-0.4676019342207662,-1.1006320381030157,-1.1692429489404697,-1.1152308420532884,-1.0783161839287794,-0.954155528914895,-0.9889217586984019,-1.0173344037544305,-1.136327450652265
IND,Indonezia,-1.696859895754672,0.05638483801757231,-0.40536138039896685,-0.610454574210217,-1.81099989565787,-1.5744138949502084,-1.05193746647611,-1.33963354233826,-1.7952455396351066
VEN,Venezuela,-0.6790029849304188,-0.13388015938892406,-0.28532284819958775,-0.34382916093926164,-1.81099989565787,-1.7267580550290573,-1.1673629433039758,-1.4298773011417325,-0.6249283368148347
MDA,Moldova,-1.6409336918632296,0.4009187522401475,-0.17619690983651629,-0.46031599197997064,-1.8924091969611023,-0.8997469003153061,-0.961338849035835,-0.6434674029971884,-0.9298008854486873
PHL,Filipine,1.0714871968717312,-0.46298718192989174,-0.9582661347718641,-1.135939612016081,-2.5436836073869604,-1.639704249269715,-1.0763161876076068,-1.0302263692977847,-1.411696204257034
GTM,Guatemala,-0.7125587072652843,-0.13388015938892406,-0.28532284819958775,-0.34382916093926164,-2.7065022099934253,-2.4231885011037937,-0.9428456770010353,-0.21803254006653358,-2.857382160682076
IND,India,0.49097320047855814,-2.885009175942323,-1.8785615483004368,-1.7390825371824172,-3.1135487165095865,-2.357898146784287,-0.8771560776286346,-2.9382372697140537,-2.4443290302749205
