Tara,C1,C2,C3,C4,C5,C6,C7,C8,C9
Filipine,-3.4967701554046218,-0.3223630726436878,1.8958939165439959,0.15587689402724822,0.19851525321655333,-0.8298011245618915,0.45553648573700056,0.23416287650113224,-0.048840120826755914
Polonia,-0.27628155928233356,0.5112146580473843,-0.690804958900648,-0.14444468581073802,-0.13651507588140704,-0.44240821942449515,-0.5023077300707188,-0.036801192143128554,-0.06078458424834938
Romania,-0.5101070643623891,-0.2787421923929371,0.009485357099730923,-0.9028078396191078,0.2176609394716426,0.021207469170224463,0.3375131589558005,0.14463809261568752,0.06330595454398213
Rusia,-0.7920726500521464,0.5978664031713867,0.13206626790143142,-0.5630382219131285,-0.8116663785931564,0.13576192031735015,-0.17133554935389797,-0.25388039503082116,-0.014832954872666669
Slovacia,0.15941909641900473,1.25086866458738,1.2876912957305622,-0.9363781050542074,-0.1104594097218123,-0.007973736475849447,0.3049470143339403,0.14230407186523195,0.01175278647551961
Africa de Sud,-2.6735785258410307,0.06032530093114051,0.8113171301343229,0.6158424217529698,-0.1576499523897925,0.26041324355759693,-0.0961134039160543,-0.4525472223674168,0.0584071275867609
Coreea de Sud,0.6369675821698427,0.8256275766746255,-0.8922556736596986,0.21104472929865817,-0.7030671159514067,0.3915473814182093,0.09146587027753038,0.0007773253216147681,0.06479495701158908
Thailanda,-1.688887550325547,-0.4809014576162385,-0.2559969915127966,-0.5632810997865899,-0.11472862247567402,0.8387778034794201,0.41407656767654794,0.37730293034989526,-0.004330934648805927
Turcia,-5.019401173688176,2.432197088850144,-2.1828508456446887,0.909463882330549,-0.1238050207358518,0.25133901200806985,0.18441916445930537,0.4597279333577595,-0.0032109081885091334
Ucraina,-2.6811717614056736,0.8706787820029743,-0.2858539863445878,0.1465920576540068,-0.6480831112559903,-0.07037085802971055,-0.42841081765713857,-0.4127064078636607,-0.0505410346914076
Uruguay,-0.07708175383699,-0.827354110967188,-0.07929984712692427,-0.7350495295141917,0.15933629631905158,0.764553259946996,-0.0856466161211897,0.004252813130173189,0.14171562351810468
Venezuela,-2.7040244651912326,-1.4062775681165551,0.5568612002521691,0.03637361131759025,-0.6413723509350981,-0.5522191103455306,-0.2544293428014957,-0.5947610595959506,-0.047639763241283134
Belgia,2.5769651490057517,-0.7352114276538572,-0.3310434557276251,-0.023202728757969377,-0.3210656300015155,0.02377427784162577,-0.3495569306614548,0.019666139866608274,0.026533430976005624
Singapore,2.074811743651604,0.7449284690619956,0.5170780130864601,1.2642871627096437,0.09737040850963748,0.30260799493306795,1.1552576858602577,0.14714629346393882,-0.039997272893847594
Finlanda,2.4011978049759035,-0.6670830834397214,-1.6665381850102896,-0.1799718826022499,0.8998852103311934,-0.48178281510902876,-0.1052997142927077,-0.12192909670080426,0.14506607900951135
Letonia,0.2121004994505398,1.1126301696003735,0.6285873138231449,-0.8515336699208326,-0.5564911871776274,-0.06525602259981494,0.1848818388263408,-0.03631190332522662,0.024848570991615207
Noua Zeelanda,2.157469794941341,1.0280460836467709,0.002559439479025822,-0.015526649083270413,0.3015957465887413,-0.1591287143318273,0.08629863066126477,-0.044503052028461706,-0.055880631924384194
Ungaria,-0.44001684969369675,1.4515432454318182,1.0372679333318506,-0.511306104766691,-0.24593380166261622,0.22025148001351413,-0.1549659593649927,0.16655538654514015,-0.03884234107220931
Portugalia,0.09627385483389754,-1.0258717719323136,0.13658621317778338,-0.08725969080606287,-0.5642185499690294,0.3047066245390846,-0.4886714264694025,0.4503608247290324,-0.033930182073567294
Tarile de Jos,2.4962112017477236,0.17907846533045055,-0.4072819586969718,0.3083703699300516,0.6000648922378086,-0.3311677237058219,0.10205184368930702,-0.05418060816261609,0.060100796091198706
